Adv,0,0,0,0,1,2,2,0,1,0,1,1,2,1,2,4,2,2,0,3,4,1,2,0
Art,0,4,2,0,0,1,5,0,0,2,0,1,1,1,2,2,4,4,1,4,5,0,0,0
Num,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Prep,0,2,2,0,0,0,6,0,1,6,0,1,1,0,3,0,5,2,0,5,4,1,0,0
Pron,0,0,1,0,1,0,1,0,0,2,1,4,3,1,5,0,3,2,1,3,4,1,1,0
Punc,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,1,1,0,3,4,0,0,0
adjective,1,2,2,0,1,0,4,1,1,4,1,2,0,1,1,0,1,2,0,4,2,0,2,0
conjunction,0,1,0,0,1,1,3,0,2,3,0,1,1,1,0,1,2,4,0,2,3,0,0,0
noun,1,5,3,1,0,1,11,1,0,9,1,1,1,1,6,2,6,7,2,6,9,1,0,0
verb,0,3,1,0,1,2,5,0,3,2,3,3,3,2,3,5,3,4,2,6,10,0,3,0
