Adv,1,0,2,1,2,2,1,0,0,0,4,0,1,1,0,1,2,2,2,3,1,2,0,3,0,2,1,1,1,2,1,1,0,1,1,2,2,2,3,0,0,0,2,0,2,0,2,1,1,5,1,0,0,1,1,0,3,0,2,1,0,3,3,0
Art,3,2,3,1,0,0,0,3,0,2,2,2,2,0,0,3,1,0,1,1,1,1,4,6,3,2,2,2,0,2,2,0,3,0,0,0,4,1,4,3,2,2,2,1,4,3,1,3,1,1,0,2,3,4,1,0,0,1,2,0,2,1,5,0
Int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Num,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,1,0
Prep,2,3,2,1,1,1,2,3,0,2,4,1,0,0,1,1,2,1,0,0,1,0,7,4,3,2,1,2,2,2,1,0,3,0,0,0,1,1,3,1,2,2,2,1,2,3,1,1,1,1,1,2,2,3,1,0,0,1,1,1,0,0,4,0
Pron,1,3,2,1,1,1,7,3,2,5,4,4,2,2,1,2,1,2,4,2,3,4,4,5,3,1,1,3,3,1,1,1,3,3,2,2,1,0,2,0,1,3,3,2,0,1,2,1,2,2,4,2,2,3,0,1,2,3,2,2,0,1,1,0
Punc,0,1,2,0,0,0,0,1,2,1,2,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,2,0,1,1,2,0,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,1,0
adjective,1,0,0,0,1,1,1,2,0,1,1,0,0,0,1,1,2,0,1,0,1,0,4,2,4,3,0,4,1,0,1,0,1,0,0,0,1,2,2,4,1,6,4,1,0,2,1,0,0,0,1,2,0,2,1,1,1,2,0,1,2,0,2,0
conjunction,1,0,1,1,0,0,1,1,0,1,2,1,1,0,0,3,1,0,1,0,1,2,1,3,2,3,1,5,2,0,0,1,0,2,0,0,1,1,3,0,1,1,1,1,2,1,0,1,0,0,2,1,3,2,1,0,1,2,0,0,1,2,1,0
noun,4,4,8,2,2,1,3,7,2,4,4,2,5,0,1,4,1,2,1,2,2,2,7,15,4,4,3,3,2,2,2,0,4,2,0,1,3,2,4,3,6,4,1,2,7,3,2,1,1,2,3,4,6,6,4,1,2,1,5,1,2,1,6,0
verb,2,1,3,2,4,3,3,2,2,6,6,3,3,2,1,1,2,1,2,1,3,3,6,8,3,3,3,10,4,4,1,1,3,3,2,1,6,1,3,1,2,4,4,2,2,4,3,3,1,3,3,2,3,4,2,1,3,3,3,2,2,3,5,0
