Adv,1,0,1,1,1,2,1,1,1,2,1,0,2,3,2,2,1,2,1,1,1,0,3,2,1,0,1,2,0,0,0
Art,2,1,0,2,3,1,1,1,1,2,2,0,2,2,1,2,3,2,0,3,4,2,3,1,0,1,3,3,0,0,0
Num,0,0,1,0,1,0,0,0,1,0,2,1,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Prep,2,3,0,2,2,2,0,1,4,1,3,1,3,1,1,1,2,4,0,3,7,2,2,1,0,1,0,2,0,1,0
Pron,2,1,1,3,3,3,2,0,1,0,1,0,3,0,1,2,0,4,3,2,5,1,3,2,2,1,0,0,0,2,0
Punc,1,0,0,1,1,0,1,0,1,0,0,0,2,2,2,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0
adjective,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,3,1,3,0,0,0,2,1,2,0,1,0
conjunction,0,1,0,1,1,1,2,1,2,0,1,0,3,1,0,3,0,0,1,3,2,1,2,0,0,0,1,1,1,0,0
noun,6,4,0,6,3,6,1,2,5,3,6,2,5,6,4,6,4,6,2,4,9,4,3,3,1,4,4,4,2,1,0
verb,3,3,1,5,5,7,5,1,4,1,5,0,6,2,4,4,1,9,4,4,3,4,4,2,1,1,5,2,2,2,0
