Adv,1,1,1,0,3,2,3,4,1,0,1,3,3,2,2,1,0,1,0,1,0,1,0
Art,4,0,1,0,3,2,4,2,1,1,4,2,3,2,1,2,0,1,0,1,2,2,0
Num,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2,2,1,1,0,0,0
Prep,5,1,3,1,3,2,3,5,1,1,2,3,3,1,4,1,3,4,1,2,3,3,0
Pron,3,2,1,2,3,0,1,1,0,1,1,1,0,0,1,1,0,2,1,0,1,3,0
Punc,5,1,3,0,3,1,1,2,0,0,1,1,1,0,1,1,1,2,0,1,1,2,0
adjective,1,1,2,1,3,0,1,1,0,2,1,3,1,1,1,0,1,2,1,0,1,3,0
conjunction,1,1,2,0,2,0,1,2,0,1,0,1,1,1,1,1,2,1,1,1,1,2,0
noun,16,1,5,1,5,4,4,3,1,3,5,4,3,3,4,4,2,5,5,4,8,6,0
verb,4,2,5,2,5,2,4,6,0,1,3,3,0,2,3,2,8,4,1,2,3,5,0
