Adv,2,0,2,2,2,1,6,0,0,0,1,1,3,0,2,0,1,2,1,6,3,4,1,1,1,2,0
Art,4,3,1,2,2,5,4,3,2,2,2,2,2,6,0,1,1,2,1,1,9,4,1,6,3,2,0
Misc,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Num,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prep,3,2,1,3,0,7,2,1,1,2,1,0,3,2,1,3,1,2,1,1,7,4,0,7,4,2,0
Pron,1,2,3,2,5,3,3,1,3,1,3,1,5,1,1,6,3,2,3,4,7,3,3,5,3,2,0
Punc,2,1,1,0,3,1,2,2,4,0,0,0,2,2,0,0,1,1,0,1,3,1,0,1,0,1,0
adjective,2,1,2,1,7,2,0,2,3,1,0,0,2,1,3,0,0,2,4,1,6,2,1,2,1,2,0
conjunction,0,1,3,1,5,4,3,0,1,1,2,2,2,0,4,2,2,2,4,4,6,2,0,4,3,3,0
noun,7,5,3,5,10,7,4,4,10,4,2,3,6,6,3,6,3,3,2,6,13,5,2,9,4,3,0
verb,3,5,7,2,7,4,9,2,3,2,4,2,7,3,1,3,5,4,6,7,8,7,2,9,7,3,0
