Adv,3,0,3,3,2,2,1,2,3,2,1,1,1,0,0,0,1,0,0,0,2,0,1,0,0
Art,6,3,1,0,0,0,1,4,2,1,2,3,2,3,3,0,0,0,0,1,0,3,3,5,0
Num,2,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Prep,7,3,2,0,2,0,0,3,5,0,1,3,1,7,2,0,0,0,0,1,1,4,2,0,0
Pron,1,2,1,0,1,1,0,1,6,0,2,1,1,6,0,1,1,1,1,0,2,2,2,4,0
Punc,7,0,2,0,0,0,0,1,2,0,1,1,0,1,2,0,0,0,0,4,0,0,1,2,0
adjective,2,3,2,1,0,0,0,1,5,0,3,2,2,0,0,0,0,0,0,3,1,1,2,2,0
conjunction,3,1,3,1,3,0,0,0,4,0,4,1,2,4,0,1,1,1,1,1,3,2,2,4,0
noun,17,7,6,1,4,3,1,5,8,1,3,6,6,11,5,2,2,3,3,7,2,5,5,7,0
verb,4,2,5,1,1,1,1,3,7,3,7,2,2,5,2,1,1,1,1,2,6,4,4,8,0
