,,0,0,2,2,0,3,0,2,0,0,1,1,2,0,1,0,0,0,1,2,0,1,0,0,2,1,2,2,0,0,0
:,0,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
PRP$,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
adjective,2,2,2,1,3,3,2,0,2,0,1,2,2,1,1,1,3,4,0,5,0,2,1,3,1,3,4,2,1,1,0
adverb,0,2,1,0,1,4,0,1,1,0,0,2,0,2,2,0,2,2,0,1,0,1,0,3,0,4,1,2,1,0,0
article,2,5,1,2,10,3,2,6,3,1,1,4,2,4,3,1,0,1,3,5,2,4,0,3,0,3,3,3,1,1,0
conjunction,2,6,2,4,5,6,1,7,4,0,1,1,2,7,2,1,6,4,2,3,4,4,2,5,2,6,3,6,0,1,0
noun,5,4,2,6,10,5,2,13,6,1,5,3,6,8,7,3,3,10,9,3,5,2,0,5,6,10,1,6,1,2,0
numeral,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
other,1,3,0,0,1,0,0,1,2,0,2,1,4,2,2,1,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,5,2,2,5,3,0,1,1,0,1,1,0,3,1,1,2,1,1,1,1,6,1,1,2,3,3,3,0,0,0
verb,1,12,2,3,11,7,1,4,3,3,3,5,8,8,6,4,7,4,4,7,2,12,2,3,3,10,5,6,1,1,0
