'',0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1,0,0,0,1,1,0,1,5,3,0,0,5,1,0,0,0,1,0,1,0,2,0,1,2,1,0,0,0,3,1,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0
-LRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
``,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
adjective,3,1,0,0,1,1,0,0,3,2,0,0,1,1,1,0,1,0,1,1,5,2,2,4,1,0,1,0,1,4,2,1,0,1,0,1,0,2,3,1,0,0,0,1,0,1,2,1,1,1,0
adverb,0,1,0,0,2,0,1,0,1,0,2,0,1,1,2,1,0,1,0,1,2,3,0,1,2,0,0,0,0,1,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0
article,5,1,1,2,1,2,1,2,1,2,2,1,8,0,1,0,0,2,2,5,3,3,1,1,0,2,0,1,2,4,0,1,2,0,1,2,1,2,3,1,0,3,0,2,0,0,1,0,1,0,0
conjunction,3,0,0,2,0,1,2,2,5,4,3,1,9,3,0,1,2,3,0,2,6,1,2,3,4,5,1,2,1,6,2,3,3,0,2,3,4,2,4,0,1,3,1,4,0,0,1,1,1,0,0
noun,5,1,1,4,6,1,3,10,7,13,5,3,11,3,1,1,3,5,1,8,8,4,1,5,5,7,3,4,2,8,3,5,4,2,5,3,5,4,3,3,2,5,0,9,1,1,1,1,1,1,0
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
other,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
particle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pronoun,2,0,1,1,1,0,1,0,2,1,2,0,2,3,2,1,0,0,0,0,0,3,2,0,2,0,0,0,0,2,0,0,2,0,1,2,1,0,1,1,1,1,0,1,0,0,0,2,1,1,0
verb,5,2,1,3,2,2,3,4,8,3,5,1,8,4,3,4,0,4,1,4,6,6,2,2,7,4,2,3,2,7,3,1,5,2,4,2,3,1,3,1,1,2,1,2,1,0,1,1,2,2,0
