'',0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
,,2,2,1,1,0,3,0,0,0,1,1,0,1,1,0,0,0,1,1,2,1,0,0,3,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,3,0,0,1,0,0,1,0,1,2,0,0,6,0,0
-LRB-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
PRP$,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
``,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,0,1,1,1,2,1,0,0,0,0,0,0,1,1,4,0,1,2,2,2,1,0,1,2,1,0,1,2,1,0,0,0,0,1,1,0,1
adjective,2,2,1,5,0,2,0,1,1,0,1,1,0,2,1,4,0,2,1,1,1,1,0,0,0,3,1,1,1,1,0,1,1,1,2,1,2,3,1,2,2,1,5,1,1,0,0,0,2,2,3,1,4,0,1,0,1,0,0
adverb,0,3,2,5,0,2,1,0,0,2,1,0,0,1,0,3,0,1,1,2,2,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,1,0,0,1,2,1,1,2,3,3,0,2,2,0,0,5,1,0
article,3,8,1,6,0,5,1,1,3,0,3,4,0,2,3,1,2,2,6,3,4,3,3,1,0,5,1,4,4,2,0,0,1,4,1,1,0,1,1,4,2,3,2,1,1,1,4,5,3,0,2,2,2,1,4,0,3,0,0
conjunction,6,7,1,6,0,7,1,0,0,2,1,0,0,5,1,1,1,6,3,1,4,2,0,0,2,1,1,2,3,1,2,0,1,4,3,1,2,2,2,3,1,3,2,0,2,0,1,3,3,1,2,4,3,1,3,0,6,2,0
noun,12,11,2,11,0,9,3,2,4,4,6,3,1,5,3,7,2,4,6,4,4,3,3,2,3,6,2,6,7,4,2,1,3,8,4,4,0,2,5,5,5,7,4,3,4,1,3,4,6,4,3,7,4,3,8,0,10,3,0
numeral,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
other,2,2,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,3,0,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,1,3,0,2,0,1,1,0,0,1,1,0,0,0,0,5,1,1,3,0,2,5,0,1,2,0,0,1,0,0,1,0,4,0,4,0,5,3,2,2,0,0,2,1,1,0,3,1,1,1,0,1,1,1,0,0,0
verb,2,11,1,6,0,4,1,2,3,2,4,2,3,3,3,5,3,5,5,6,4,1,2,7,2,4,5,1,5,4,1,0,1,2,4,1,4,3,8,8,3,8,2,2,5,1,4,4,4,5,2,1,3,2,3,1,2,0,0
