'',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,2,0,2,1,0,1,0,1,0,2,1,1,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,1,0
adjective,0,1,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,2,1,0,0,1,3,2,0,2,0,0,0,1,2,0,1,2,0,2
adverb,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,2,0,2,3,0,1,2,1,1,0,2,0,1,0,2,2,2,1,1,0,0
article,3,3,2,2,3,0,3,0,0,1,1,3,1,0,3,0,2,1,3,3,0,6,1,1,2,1,5,1,0,1,1,3,2,2,2,0,1
conjunction,1,4,0,0,2,0,3,0,0,2,1,5,1,2,5,1,0,2,2,2,0,8,4,2,2,2,9,1,1,1,0,5,4,0,2,0,2
noun,8,7,1,2,2,1,9,4,1,2,1,7,1,1,12,1,4,3,3,6,1,10,2,3,6,3,8,4,0,2,1,7,6,3,2,0,2
numeral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
particle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,1,1,0,1,0,0,0,0,0,0,1,2,1,1,1,2,4,1,2,2,2,0,0,3,1,1,1,2,3,1,1,0,1,2
verb,1,6,1,1,4,3,7,3,0,1,1,4,1,1,4,1,5,4,4,6,1,11,5,4,2,1,4,3,1,1,2,8,7,3,1,1,2
