'',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,1,0,2,1,4,0,1,2,0,2,1,1,0,1,0,3,1,1,1,2,1,1,3,3,0,0,1,2,0
PRP$,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
adjective,0,3,2,3,1,3,1,5,0,3,2,1,2,0,1,0,1,2,4,1,1,1,2,1,2,3,2,2,4,2,2,0
adverb,0,3,0,1,0,3,2,3,1,1,3,0,1,1,4,1,2,1,1,0,1,1,1,0,2,0,3,4,0,0,1,0
article,0,6,2,4,1,2,2,9,2,3,3,1,1,1,0,1,3,3,4,3,1,2,2,4,3,6,5,3,5,1,4,0
conjunction,0,4,2,4,0,5,3,8,1,5,5,0,4,0,4,0,1,3,5,4,2,2,1,4,3,6,5,3,6,2,5,0
noun,2,7,5,9,5,10,5,11,4,8,7,3,4,2,3,2,4,6,9,6,6,7,5,7,4,8,6,4,8,4,3,0
numeral,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0
other,0,3,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,3,1,1,2,1,2,2,2,1,0,0
pronoun,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3,1,0,0,0,0,1,0,0,0,2,2,3,0,0,2,0,0
verb,0,5,2,5,2,5,2,5,1,3,9,2,3,1,9,4,2,2,3,3,5,5,3,2,3,7,14,5,7,2,3,0
