,,0,2,0,2,0,3,1,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
adjective,0,1,2,1,0,2,1,2,0,0,0,1,3,1,1,3,0,2,1,0,4,0,0,0,1,0
adverb,0,1,1,3,2,1,2,1,1,1,2,0,2,5,1,4,1,1,2,2,3,0,1,0,0,0
article,0,4,2,2,1,2,7,2,2,0,4,2,2,3,4,1,2,3,1,4,1,1,1,2,0,0
conjunction,0,4,2,2,1,3,10,3,2,1,2,0,2,5,5,2,4,5,2,7,5,0,3,3,2,0
noun,2,15,4,4,1,8,12,3,4,4,7,1,3,3,6,5,6,11,2,5,6,0,4,4,2,0
numeral,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
other,0,3,1,1,0,2,3,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
particle,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pronoun,0,0,2,2,1,0,3,1,0,1,0,1,2,2,1,0,1,0,2,2,1,0,0,0,2,0
verb,0,8,3,7,2,5,8,5,3,4,6,2,6,6,4,2,2,4,3,8,5,2,3,3,4,0
