'',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,2,0,0,0,0,2,1,2,1,1,4,2,1,5,1,6,0,2,2,1,1,2,4,2,4,0,5,3,1,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
PRP$,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adjective,5,3,1,2,0,2,0,6,3,2,1,0,4,8,4,5,1,3,4,4,1,0,2,2,8,0,9,3,1,0
adverb,3,0,0,2,0,1,4,2,2,1,3,3,2,5,2,3,0,2,3,4,2,2,2,3,2,0,3,1,2,0
article,6,2,2,3,1,1,2,5,5,1,5,4,5,3,6,4,3,5,3,3,1,3,1,9,8,1,10,2,1,0
conjunction,6,2,1,2,0,5,6,5,5,3,9,4,5,11,8,11,2,4,5,4,3,8,7,7,6,0,12,3,3,0
noun,15,4,7,5,2,6,4,10,12,8,20,11,8,10,13,18,2,7,11,4,6,12,14,12,11,3,23,6,6,0
numeral,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
other,2,0,1,0,2,0,1,2,2,0,1,1,2,0,0,2,0,3,0,0,0,2,2,3,4,0,1,3,1,0
particle,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
pronoun,3,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,1,1,0,0,0,1,1,2,0,1,3,0,0
verb,8,3,1,5,2,4,7,8,3,1,7,3,5,4,7,4,1,8,6,5,4,4,6,6,6,1,7,7,5,0
