,,0,1,0,0,3,0,2,0,0,2,3,0,1,1,1,0,1,0,1,2,0,0,1,0,0,1,0,0,0,1,0
:,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
adjective,1,0,2,1,2,1,4,0,2,2,1,0,1,3,3,4,0,3,3,1,0,1,1,0,0,0,2,0,0,0,0
adverb,3,6,2,0,5,3,2,1,2,1,2,0,1,1,1,6,2,1,3,0,1,0,1,1,1,0,1,1,4,7,0
article,1,3,1,1,2,1,4,0,5,2,1,0,0,3,3,6,0,2,3,2,0,1,0,0,1,2,1,3,1,3,0
conjunction,2,5,3,0,3,1,5,0,6,2,3,1,1,9,5,7,0,2,5,0,1,4,0,1,0,2,2,3,2,1,0
noun,6,12,8,3,8,2,10,0,12,3,3,0,1,10,4,20,1,2,11,4,0,5,2,1,3,3,4,3,2,4,0
numeral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
other,0,5,0,0,1,1,4,0,1,2,0,0,0,1,0,2,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0
particle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pronoun,0,3,1,1,4,1,2,0,2,2,2,1,1,2,1,2,1,0,1,4,0,1,1,2,0,0,0,1,3,1,0
verb,3,13,5,2,6,4,7,1,9,3,4,2,1,6,9,13,2,2,5,7,0,4,2,4,2,3,1,4,3,4,0
