,,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,3,1,2,0,2,2,1,0,1,0,0,0,1,0,2,1,0,0
:,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
adjective,2,2,2,4,2,0,0,0,1,1,1,0,2,3,2,3,1,2,3,1,1,0,2,5,0,2,0,4,0,0,2,0,1,0,3,0,2,0,1,0
adverb,1,2,3,1,1,0,6,1,0,1,0,0,0,0,1,3,1,0,1,0,0,2,1,2,2,0,3,5,2,1,2,0,0,0,5,0,3,0,1,0
article,1,8,1,3,4,2,1,1,0,1,0,0,2,2,3,4,3,3,2,2,3,0,5,3,1,1,3,2,1,1,5,0,1,2,5,0,2,1,1,0
conjunction,1,7,1,6,9,2,1,1,1,2,0,1,3,5,2,3,1,2,3,4,1,1,7,6,4,2,3,8,6,0,6,1,1,2,6,1,4,1,2,0
noun,2,12,1,12,11,6,2,3,2,2,1,1,5,7,3,10,3,7,9,7,6,2,15,12,10,1,8,13,5,3,8,3,2,5,9,1,4,0,1,0
numeral,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0
other,1,1,1,2,2,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,2,0,2,1,0,1,2,0,1,1,0,0,0,0,0,0
particle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,1,0,2,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,0,0,2,1,0,1,1,2,1,0,2,0,0,0,1,0,0,1,0,0
verb,3,6,2,6,7,3,2,3,0,1,2,3,6,6,4,5,3,3,4,4,3,4,3,8,6,5,4,8,3,2,8,0,2,2,8,2,6,1,1,0
