,,2,1,1,2,2,2,2,0,1,0,0,0,0,1,2,0,2,3,5,2,1,3,2,2,1,2,3,1,1,1,3,1,2,0,2,4,0
-LRB-,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
:,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,1,0,0,2,0,1,1,1,1,0,1,1,1,0
RBR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,5,6,4,2,1,2,0,0,1,3,0,0,0,6,1,6,8,4,4,1,5,7,7,5,1,2,4,3,2,2,2,1,2,2,2,0
adverb,0,1,0,3,2,0,4,0,0,0,0,0,0,0,2,0,1,1,6,1,1,1,3,1,0,1,2,2,0,1,1,0,3,1,2,1,0
article,3,1,1,2,4,3,4,2,0,1,1,1,0,0,5,2,7,4,5,7,3,3,7,2,4,5,3,4,3,4,3,2,3,1,3,4,0
conjunction,2,4,2,7,4,3,8,3,0,2,4,1,0,1,6,6,9,5,7,8,6,10,7,11,10,3,6,3,2,4,4,2,5,2,4,7,0
noun,10,4,4,6,6,6,11,4,2,6,7,3,2,6,9,8,6,10,12,12,9,17,14,12,12,9,7,7,4,6,11,7,7,3,11,7,0
numeral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
other,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,2,2,1,1,3,3,0,2,2,0,2,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
pronoun,1,1,1,1,0,1,1,0,0,0,0,1,2,1,1,0,1,0,2,0,2,2,1,3,0,0,0,1,3,0,0,1,0,2,0,1,0
verb,2,3,2,0,4,3,6,3,0,0,3,1,1,3,3,2,4,2,7,2,4,6,5,5,5,7,3,6,5,1,4,3,1,6,2,7,0
