,,1,1,2,2,0,1,1,1,1,3,0,0,0,1,2,0,3,2,2,3,1,2,1,2,3,2,1,0,2,0,1,5,1,2,1,3,5,3,0,0,1,3,5,2,2,1,0,1,4,1,1,0,2,0,1,1,0,4,3,1,1,1,5,1,3,1,0,1,2,0,0,3,4,4,1,2,2,1,2,2,2,6,1,3,1,2,3,3,3,1,2,2,0,1,1,1,1,4,2,2,4,1,1,1,3,4,0,1,3,0,0,3,1,2,0,0,1,2,2,0,4,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRP$,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,3,0
RBR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
adjective,0,2,3,1,2,9,1,6,4,6,3,3,2,7,6,2,3,8,4,6,3,4,7,3,3,2,5,0,10,1,3,3,2,5,6,8,9,5,1,4,1,3,7,6,4,1,1,4,7,7,2,3,1,5,4,2,1,7,4,3,3,3,8,1,4,4,3,1,3,1,2,0,2,8,3,3,1,2,2,5,2,9,5,3,3,3,6,0,3,4,4,5,1,0,6,1,5,6,3,4,5,9,4,0,3,4,6,2,2,1,6,9,2,8,0,2,2,5,4,3,8,0
adverb,1,2,3,6,0,2,2,2,2,2,0,1,2,1,2,2,1,1,0,5,0,2,0,1,3,2,2,0,5,1,1,7,3,2,7,0,4,5,2,1,4,1,1,2,0,2,0,3,2,1,1,2,1,2,2,2,2,3,1,3,2,0,5,2,3,4,0,2,3,1,0,3,4,4,3,1,0,1,0,3,1,5,1,1,2,2,5,4,4,1,1,2,0,1,1,4,4,4,0,2,2,2,4,2,0,4,1,2,2,1,2,5,2,3,1,0,4,2,3,4,1,0
article,0,5,5,1,1,4,2,8,2,4,4,3,3,8,7,1,6,5,5,4,4,5,7,8,5,7,11,2,8,3,3,4,2,4,4,1,4,2,4,8,0,3,5,8,2,1,1,1,7,6,3,2,4,1,5,1,4,11,3,10,2,5,6,1,4,6,3,4,3,1,1,2,3,10,2,5,7,5,0,3,0,7,2,6,2,6,9,0,2,2,2,4,2,2,6,2,7,5,6,5,3,9,3,2,1,4,8,1,9,1,2,9,4,7,0,4,3,5,2,2,6,0
conjunction,3,5,5,2,3,9,2,8,3,6,4,2,2,11,11,0,11,10,6,10,9,7,10,8,3,10,10,2,13,2,2,12,7,7,9,9,6,3,3,6,0,7,9,9,6,3,2,6,6,8,3,4,3,1,11,4,3,13,6,13,7,3,13,1,6,6,5,5,6,1,5,6,7,12,0,5,6,4,4,7,3,9,3,8,6,8,15,3,9,9,2,7,6,4,6,6,7,7,7,9,5,10,8,2,2,5,12,2,12,1,3,13,6,13,0,4,6,4,4,3,12,0
