,,1,4,5,3,1,2,0,1,1,2,1,1,2,0,1,2,4,3,2,5,0,3,1,2,0,0,3,0
.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
:,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRP$,1,4,1,0,0,1,0,1,1,1,1,1,2,0,0,2,2,2,0,1,0,1,0,1,0,2,0,0
RBR,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,4,4,5,1,3,0,2,7,9,8,2,3,1,0,5,5,6,2,7,1,6,2,5,0,10,7,0
adverb,0,2,0,1,0,0,0,1,2,2,3,1,0,1,2,0,0,3,2,0,1,1,3,1,1,4,0,0
article,2,2,4,3,4,1,1,3,7,4,9,0,0,1,1,4,3,3,5,7,0,5,3,8,1,5,5,0
conjunction,4,7,4,7,5,2,0,4,9,7,15,1,3,1,2,5,5,4,7,16,1,5,5,8,0,9,8,0
noun,6,15,14,12,6,4,1,5,14,8,22,3,5,1,3,9,9,7,13,24,2,12,10,8,1,12,16,0
numeral,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,2,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,0,0,0,1,3,1,1,2,1,0,3,0,2,3,2,0,0,1,1,0,1,2,1,0,2,1,0
verb,1,1,5,2,2,3,2,4,5,2,4,4,2,2,4,4,6,2,2,12,1,4,5,5,2,4,3,0
