,,0,0,3,2,1,3,1,3,1,1,4,0,0,3,2,2,2,1,1,3,0,0,0,6,1,0
-LRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,2,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,2,0,3,2,2,7,2,0,4,3,5,1,2,7,3,4,0,4,4,7,0,0,0,0,3,0
adverb,0,1,2,4,3,0,1,1,2,1,4,4,1,4,5,5,1,4,2,4,0,3,1,0,1,0
article,1,0,3,8,4,3,1,5,5,9,4,0,1,12,3,3,1,6,4,4,2,2,0,1,2,0
conjunction,2,0,4,14,8,8,1,5,4,8,6,1,2,8,4,6,3,9,12,10,3,3,1,3,1,0
noun,3,2,11,14,10,8,4,10,10,11,9,0,3,19,8,9,4,10,16,9,6,6,0,3,3,0
other,1,0,2,1,2,0,1,2,5,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,0,7,6,4,0,0,2,0,1,1,0,2,1,1,1,0,1,1,3,2,1,1,1,0
verb,4,2,3,14,6,7,4,4,10,3,6,1,2,15,6,6,1,3,6,7,5,4,2,8,2,0
