,,0,2,0,3,2,0,1,0,3,2,2,5,0,0,0,3,0,3,1,0,4,2,3,4,1,3,0,4,3,1,0,0,3,0,4,2,0,2,2,1,1,3,1,0,1,2,3,0,3,6,1,3,3,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
.,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
PRP$,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,3,4,1,0,2,1,0,0,1,2,1,0,0,1,1,0,1,0,1,1,2,2,0,2,0,3,0,3,0,2,1,0,1,0,1,0
RBR,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,0,5,2,3,3,2,2,1,6,6,5,11,1,4,0,9,1,1,1,5,6,6,2,7,1,6,2,5,1,1,1,3,2,3,5,4,0,7,7,0,3,2,3,3,3,2,5,2,7,4,0,4,1,2,0
adverb,1,0,4,1,2,1,0,7,2,3,2,3,1,2,1,5,0,1,1,3,2,0,3,4,2,4,0,1,1,1,1,1,2,2,3,3,2,0,4,1,4,2,2,0,1,3,4,2,0,5,6,3,9,4,0
article,2,4,3,2,1,5,1,2,4,4,3,7,2,5,2,5,2,2,2,4,4,3,6,7,5,3,3,9,2,1,1,6,4,2,6,1,1,2,9,0,1,3,0,2,0,1,3,4,0,3,1,1,3,3,0
conjunction,2,11,3,3,6,8,2,2,6,6,9,6,2,1,3,9,0,3,3,4,6,4,6,13,4,7,4,13,3,4,2,7,7,5,8,7,0,6,18,5,6,5,6,2,1,5,5,5,6,7,7,7,6,4,0
noun,3,10,6,5,8,9,3,3,8,10,9,6,4,5,2,14,2,5,2,7,13,7,11,12,6,5,5,17,5,3,4,11,10,8,13,13,1,6,12,5,6,5,8,6,3,4,7,11,9,6,3,7,5,5,0
numeral,0,3,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
other,0,0,0,0,0,0,1,2,0,0,1,2,2,0,0,1,1,0,0,2,1,3,2,0,0,0,1,2,1,1,0,0,3,1,3,0,0,1,4,4,1,0,3,2,0,1,3,2,0,0,0,1,1,3,0
particle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pronoun,0,1,3,0,4,1,0,2,0,3,2,4,2,0,2,2,0,3,2,2,0,0,2,2,0,2,1,2,4,2,2,0,2,1,3,2,0,0,5,5,1,1,1,2,1,2,2,3,1,3,12,3,4,2,0
verb,2,3,6,2,7,5,4,7,4,1,6,4,3,2,2,10,1,3,5,7,2,2,9,8,1,5,3,9,4,4,2,3,6,5,13,5,1,3,15,8,5,4,6,5,1,6,5,5,8,7,17,5,10,8,0
