,,4,0,2,0,2,2,0,1,0,0,1,0,2,3,2,1,4,1,2,1,2,4,0,0,2,1,3,3,0,1,0,3,4,1,1,0,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
PRP$,1,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,6,1,2,3,1,3,1,1,3,6,6,5,6,6,3,1,3,1,7,3,5,4,4,2,2,3,2,3,1,3,2,3,3,1,4,4,0,0
adverb,0,1,1,2,2,2,1,3,1,0,3,1,1,4,2,2,3,1,2,0,2,3,2,0,1,1,2,2,2,3,3,5,3,0,0,1,1,0
article,5,1,4,2,1,2,0,3,4,5,8,2,3,7,2,3,5,3,7,3,3,4,6,3,5,3,5,6,3,3,0,3,8,3,6,6,5,0
conjunction,8,1,6,4,3,7,0,7,4,5,10,3,8,4,4,2,9,0,10,3,7,1,6,3,5,7,8,8,5,2,0,5,8,3,10,9,6,0
noun,12,5,11,8,3,8,2,12,6,8,13,7,8,11,7,4,11,3,20,4,10,8,12,7,6,10,13,12,9,4,3,8,13,11,11,14,7,0
numeral,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
other,2,0,1,1,1,0,1,1,0,0,2,2,0,0,0,1,0,1,3,0,1,1,5,1,1,0,1,1,0,2,0,1,0,0,0,3,1,0
particle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,1,0,0,1,0,0,0,3,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,1,3,3,0,1,2,0,0
verb,7,1,6,7,3,3,1,4,1,6,12,6,4,5,4,5,4,1,10,2,9,7,11,3,9,6,6,6,7,7,3,5,7,2,6,10,4,0
