'',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,0,4,2,3,0,4,0,1,0,1,0,4,2,1,11,2,2,0,0,0,0,5,6,2,0,2,5,0,0,1,2,5,0
-LRB-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
:,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
PRP$,1,0,3,0,0,0,0,0,1,1,2,0,0,1,0,4,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adjective,5,1,6,2,2,3,4,1,1,1,3,4,5,4,1,5,5,4,0,0,1,1,6,5,2,2,5,7,0,1,0,2,4,0
adverb,2,1,2,1,0,0,0,1,2,1,4,1,1,3,1,5,3,4,0,0,0,0,5,4,2,1,3,0,0,1,0,0,3,0
article,6,0,8,5,3,1,5,4,0,1,4,3,3,3,1,4,5,2,0,1,1,1,6,8,9,3,2,8,0,0,0,2,1,0
conjunction,7,0,9,12,5,1,5,4,2,0,6,3,4,4,0,12,6,8,0,1,2,0,8,12,14,2,5,12,0,2,3,0,3,0
noun,15,1,23,13,15,3,9,8,5,2,15,13,6,9,1,16,14,17,1,3,2,1,9,15,20,3,8,19,0,3,3,2,7,0
numeral,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2,0,1,3,1,1,0,1,1,0,0,1,0,2,1,2,0,2,0,0,0,0,4,0,2,0,1,3,0,2,1,0,1,0
pronoun,0,0,0,2,0,1,2,2,0,0,4,0,2,0,0,3,0,1,1,0,0,1,3,1,1,0,1,0,1,1,1,0,1,0
verb,6,1,7,12,1,3,5,6,3,1,8,5,2,3,2,12,4,6,2,1,1,2,9,7,6,1,3,8,2,3,3,0,4,0
