,,2,0,4,2,1,2,2,1,0,6,0,2,2,6,2,1,2,4,2,1,0,0,2,4,2,1,2,1,3,1,2,0,2,4,0,0,2,3,0,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
:,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
PRP$,2,0,0,1,1,0,1,2,1,4,0,2,1,2,0,2,0,1,0,1,0,0,0,0,0,0,1,2,4,0,1,1,0,0,2,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,5,3,3,1,1,4,1,1,4,0,1,3,5,4,2,1,3,4,2,2,3,5,3,3,1,7,2,5,3,4,2,5,2,1,1,0,7,5,1,0
adverb,1,1,2,3,1,0,0,2,0,1,0,0,1,3,0,2,0,4,6,0,0,0,3,2,3,0,6,2,3,2,2,0,1,2,0,2,6,4,0,4,0
article,2,5,9,3,1,4,6,2,4,5,4,0,5,6,1,5,1,3,2,3,1,3,6,4,6,0,1,6,6,1,5,4,2,2,2,0,3,8,5,2,0
conjunction,4,5,8,4,3,7,12,2,8,10,1,2,7,11,3,10,4,9,4,4,6,4,6,6,5,1,10,11,10,1,10,5,2,5,7,4,4,13,3,4,0
noun,10,7,14,6,5,16,14,6,10,20,3,5,16,22,6,11,5,14,8,8,7,6,9,13,10,3,3,14,12,2,10,8,10,10,9,1,6,20,6,5,0
numeral,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0
other,0,0,2,0,0,0,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,0,1,2,0,0,1,1,3,0,0,0,1,3,2,0,0,2,1,0,0
particle,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
pronoun,0,0,1,3,3,0,0,0,2,2,0,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,4,3,3,0,1,0,1,3,0,0,0,0,0,6,0
verb,4,3,4,5,3,2,4,1,6,8,2,1,6,6,1,4,3,7,2,2,5,2,6,7,5,1,5,9,12,3,3,2,3,7,4,2,5,7,4,8,0
