,,3,4,2,2,0,2,3,2,0,1,3,1,3,1,3,2,6,3,1,3,3,2,1,5,1,2,2,2,4,1,2,3,2,7,3,7,5,1,3,2,4,2,6,1,5,4,1,1,3,3,0,4,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,2,3,0,0,3,2,1,1,1,1,1,0,1,1,0,1,3,0,0,2,0,1,2,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adjective,5,5,3,3,1,2,2,0,0,2,4,2,2,2,3,3,2,3,1,7,4,3,0,0,2,1,4,4,3,0,2,1,4,4,2,5,4,6,2,1,3,5,1,5,7,4,3,4,5,7,3,1,7,0
adverb,2,0,2,2,0,1,4,0,1,2,3,1,4,1,2,1,3,1,2,2,1,2,0,5,0,1,0,2,2,1,1,6,0,2,2,6,2,4,4,5,2,3,1,1,5,2,0,1,1,4,1,2,1,0
article,1,7,1,3,1,3,2,2,1,6,2,2,3,3,2,4,3,3,3,3,3,1,1,2,4,1,7,6,4,1,1,1,2,3,0,2,1,4,6,0,3,6,8,5,8,4,3,2,3,3,0,4,4,0
conjunction,1,8,5,4,2,4,3,1,0,4,3,2,7,4,3,6,12,7,2,9,4,3,1,5,4,4,9,6,8,2,5,2,3,10,4,5,7,6,12,1,8,3,9,10,12,7,5,4,8,5,3,1,4,0
noun,11,18,5,11,4,6,8,4,1,8,9,8,8,7,6,9,13,16,9,13,6,6,5,10,12,10,24,12,13,8,9,6,11,18,9,18,14,12,15,3,13,15,16,16,18,13,8,8,9,11,2,5,7,0
numeral,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
other,1,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,3,0,2,0,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0
particle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,0,2,0,1,1,1,0,1,0,0,3,0,4,1,2,0,0,0,1,3,0,0,0,0,2,0,2,2,0,0,1,2,1,1,1,2,3,2,0,1,0,2,3,0,1,0,2,3,1,1,0,0
verb,3,4,2,4,1,4,7,3,1,6,2,5,4,3,7,2,5,2,3,4,8,8,3,3,2,3,11,3,8,3,5,5,4,4,6,8,6,6,8,3,2,3,5,6,9,4,1,3,6,10,2,2,3,0
