Adv,3,0,1,1,0,4,2,2,2,0,2,2,0,1,0,1,1,1,1,0,0,2,1,0,1,0,2,0,1,1,3,0,0,2,1,1,1,3,4,4,0,1,3,2,2,2,0,2,0,2,0,0,0
Art,1,2,0,4,3,3,0,4,4,0,1,1,2,2,5,1,3,7,2,1,2,1,2,1,2,1,4,0,0,3,2,0,1,1,1,0,2,0,1,2,0,1,2,3,2,3,2,2,1,0,0,1,0
Int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Num,0,0,0,0,2,2,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,4,0,3,3,0,0,0
Prep,2,0,0,2,3,4,0,4,4,0,1,3,4,1,5,1,3,8,1,0,1,2,3,0,0,1,2,2,1,3,4,1,0,2,1,1,0,2,2,6,0,1,3,0,4,2,7,1,0,2,0,1,0
Pron,0,0,1,0,1,1,3,0,0,1,1,0,1,1,1,2,1,0,1,1,0,2,0,0,0,1,2,2,2,3,2,1,0,2,2,2,1,1,2,1,1,1,3,0,2,0,1,1,1,1,1,0,0
Punc,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,2,1,1,2,1,1,1,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,1,1,1
adjective,2,0,2,0,2,2,0,3,2,1,0,0,0,2,1,1,4,3,1,0,0,1,1,5,1,0,1,1,0,2,1,0,1,0,0,1,1,0,0,2,0,1,1,1,1,3,1,1,1,2,1,0,0
conjunction,0,0,0,0,2,2,0,4,1,0,2,0,1,2,2,0,2,1,0,0,1,1,0,3,0,0,4,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0
noun,5,2,1,8,7,5,3,6,6,1,8,7,5,3,8,2,5,9,2,2,3,2,5,1,4,4,7,3,3,7,3,6,1,3,1,1,2,2,3,10,1,2,2,3,3,5,8,3,5,3,2,3,0
verb,2,3,1,2,4,2,1,4,3,1,4,2,4,4,2,2,6,1,2,2,3,4,2,2,1,1,5,3,1,3,2,1,1,3,2,1,2,2,2,3,1,1,1,2,2,1,3,3,2,1,2,1,0
