Adv,1,4,0,1,0,0,0,1,2,0,1,1,2,0,3,0,0,0,0,1,2,0,0,0,1,3,1,0,0,0,1,1,0,2,0,2,2,3,2,1,1,1,1,0,3,0,2,0,1,1,0,0,1,2,2,1,0,1,1,1,2,2,1,0,3,1,0
Art,0,0,1,1,4,1,4,1,1,1,3,4,2,3,1,4,1,5,3,2,2,0,3,1,1,2,1,4,1,0,2,1,2,2,1,2,1,2,1,4,1,2,2,1,1,3,1,0,3,0,6,0,3,2,1,1,2,6,2,2,3,2,2,3,1,0,0
Num,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,1,0,3,1,4,0,1,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0,1,0
Prep,0,0,1,1,5,2,5,2,2,1,2,3,3,2,2,5,3,8,5,1,2,1,2,2,3,3,0,6,1,0,2,3,4,2,0,2,0,3,3,6,2,3,1,6,1,3,1,1,2,1,5,1,4,8,2,4,5,6,2,0,4,1,1,4,2,2,0
Pron,2,2,1,2,1,1,5,1,0,0,1,2,2,0,1,1,2,1,1,0,1,1,5,0,3,2,0,2,0,0,1,1,1,1,0,1,4,0,1,6,3,1,0,2,1,1,2,1,2,2,0,3,1,3,1,1,1,0,0,0,5,2,0,3,1,1,0
Punc,1,1,0,2,4,0,5,1,1,0,4,3,7,0,0,0,0,7,1,0,3,0,4,0,0,0,0,8,4,1,0,1,0,2,0,0,1,0,0,3,0,0,0,2,2,2,0,0,1,1,3,2,0,4,1,0,2,1,0,0,1,0,0,3,0,0,0
adjective,3,0,1,1,3,2,1,2,1,0,0,0,5,1,2,1,1,4,1,1,2,0,0,2,0,1,0,2,2,0,1,0,3,2,1,1,2,2,1,1,1,1,0,1,0,1,2,0,0,3,2,1,0,3,3,0,1,1,1,2,1,1,1,1,0,2,0
conjunction,0,1,0,0,0,0,2,2,0,0,0,2,4,1,1,2,1,3,2,1,0,0,0,2,1,0,0,1,3,0,0,0,3,2,1,0,2,1,0,1,1,1,1,0,0,2,2,1,1,3,1,0,2,3,1,0,1,3,1,0,2,1,0,1,0,1,0
noun,4,3,4,5,12,2,15,7,3,3,4,12,16,4,4,7,6,13,7,2,6,3,9,5,5,5,2,14,5,0,3,5,8,6,1,5,1,5,2,11,3,4,2,4,3,7,2,3,6,3,11,2,5,12,6,6,6,9,3,2,7,2,3,9,5,5,0
verb,1,2,3,2,3,1,6,5,2,2,3,1,1,2,1,2,1,6,1,4,3,1,3,1,2,2,1,3,2,0,3,4,0,4,1,2,4,1,1,10,7,3,2,2,3,3,3,4,5,6,2,3,3,5,1,3,3,5,2,1,5,2,2,5,3,3,0
