Adv,4,0,2,3,2,4,1,1,2,0,0,3,1,1,0,1,3,0,1,1,1,1,4,1,4,5,0,2,3,1,2,1,1,0,3,5,0,1,0
Art,7,2,2,1,7,0,2,2,4,5,1,0,3,1,2,4,4,3,4,6,3,3,4,3,4,2,2,4,4,2,4,0,5,3,2,2,2,2,0
Num,2,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Prep,6,3,2,1,4,3,2,2,3,3,1,0,3,1,1,3,2,4,2,6,2,3,2,6,6,4,1,7,3,2,4,0,6,1,2,5,3,4,0
Pron,2,3,3,1,0,1,0,0,3,0,0,0,1,0,1,1,2,1,1,0,1,3,2,7,1,0,3,3,0,1,0,1,0,1,1,1,3,0,0
Punc,3,0,1,1,1,3,2,0,1,0,0,0,3,0,0,0,0,2,0,2,0,1,3,1,2,0,2,2,0,2,1,0,2,2,0,1,1,1,0
adjective,2,0,3,4,3,1,1,1,0,1,2,0,2,2,3,1,2,2,3,3,2,3,6,0,1,2,4,5,2,1,1,1,3,1,0,3,2,2,0
conjunction,2,0,1,2,2,2,0,0,0,0,0,1,1,0,1,1,2,1,1,2,1,1,3,0,2,0,0,2,3,0,1,1,0,2,0,1,3,0,0
noun,14,3,9,2,10,9,5,5,6,5,2,2,7,4,3,13,5,5,6,7,4,7,8,8,10,5,6,8,6,5,5,1,7,4,5,6,3,7,0
verb,4,2,4,3,3,4,2,1,3,1,2,1,2,2,2,3,4,3,2,4,1,6,6,2,5,2,6,6,9,3,1,1,4,7,1,1,5,3,0
