,,0,1,2,1,1,0,1,0,0,2,2,0,0,0,0,0,0,2,2,0,0,3,0,2,1,1,1,2,0,2,0
PRP$,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,3,0,6,0,2,2,5,1,1,4,1,1,1,2,2,2,1,3,6,3,0,7,6,0,0,1,3,4,2,2,0
adverb,2,0,1,4,0,1,1,0,0,0,1,1,0,0,0,0,0,4,3,0,1,4,0,1,1,2,0,1,1,2,0
article,1,5,4,2,8,0,4,0,3,3,3,2,2,0,1,3,3,4,4,3,0,3,2,1,2,1,3,3,4,2,0
conjunction,4,3,4,3,6,1,6,0,1,3,2,2,1,1,2,4,1,5,9,2,0,5,5,0,3,3,7,4,2,6,0
noun,8,10,7,4,12,1,6,2,3,6,7,7,3,1,4,4,3,9,11,6,0,12,7,2,0,11,12,7,4,6,0
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
other,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,4,1,1,0,1,1,0,0,1,1,0,1,0,0
particle,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0
verb,6,6,8,5,5,2,4,1,3,6,4,2,1,1,1,3,2,9,4,1,1,3,4,1,4,3,5,3,6,5,0
