'',0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
,,3,1,1,2,1,0,0,3,5,4,1,0,2,0,0,3,4,2,3,1,3,2,4,2,3,4,1,0,0
-LRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
UH,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
adjective,0,1,1,0,4,1,0,3,1,2,0,1,0,0,0,2,2,0,1,1,2,0,0,6,1,1,0,1,0
adverb,3,0,1,2,1,2,0,2,1,1,3,2,2,1,1,2,1,0,1,2,2,3,2,1,1,1,1,0,0
article,0,1,1,1,3,5,0,4,6,4,0,2,3,1,1,5,2,2,1,1,4,0,3,3,2,4,1,1,1
conjunction,2,1,2,1,8,8,0,5,5,7,0,1,1,3,4,5,1,1,6,2,4,0,4,3,3,2,2,2,0
noun,4,3,2,6,12,12,0,8,11,12,1,5,2,5,5,11,6,6,11,7,6,1,5,9,7,3,4,3,1
numeral,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
other,1,1,1,0,3,3,0,1,5,1,0,1,0,0,1,0,0,0,1,3,1,0,0,2,1,1,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,2,2,1,0,0,2,2,1,2,0,1,0,2,3,0,1,3,2,0,0,1,0,2,2,2,1,1
verb,5,4,4,4,6,7,0,8,13,7,3,2,6,2,4,7,4,4,4,7,3,1,6,1,8,4,3,1,0
