,,0,1,0,0,2,1,0,2,5,0,2,3,1,2,0,2,1,1,2,1,1,3,2,1,1,3,1,0,2,0,4,3,1,0,2,3,0,0,2,0,0,0,0,4,0,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
:,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
adjective,0,0,4,0,4,5,0,1,5,1,4,6,0,1,1,2,2,0,3,0,1,5,1,1,3,6,2,4,5,0,4,2,0,1,4,0,0,5,1,3,4,1,0,5,1,0
adverb,0,3,1,0,0,2,1,1,1,1,2,2,3,2,1,1,2,0,1,3,2,2,0,1,1,2,2,1,3,0,1,5,1,1,0,2,1,0,0,1,1,0,1,0,0,0
article,0,1,6,2,3,3,1,1,9,2,2,3,1,0,1,2,2,2,2,1,1,3,1,2,1,2,2,6,8,1,6,5,2,1,2,4,2,3,5,3,6,0,3,2,2,0
conjunction,0,3,7,2,7,6,2,1,7,3,6,8,1,1,1,4,6,2,5,4,0,9,1,3,3,12,6,3,9,1,10,8,1,1,4,4,0,4,5,3,7,5,2,11,1,0
noun,2,11,11,4,10,7,2,3,19,5,7,8,4,2,2,3,2,6,6,6,1,12,2,9,2,12,5,7,13,1,19,14,7,1,10,3,1,5,5,5,11,4,5,18,3,0
numeral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,0,3,2,0,2,1,1,0,0,0,1,1,0,1,2,0,1,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,1,0,1,2,1,1,2,0,0,2,2,2,1,2,2,1,3,0,1,1,1,0,1,0,2,0,1,0,1,0,1,1,0,4,0,2,0,1,2,1,0,0,0,0
verb,0,3,2,1,3,7,3,4,12,4,3,4,4,3,1,5,4,2,4,2,3,7,4,3,6,6,5,4,9,0,12,8,1,3,4,5,1,4,1,2,6,4,4,7,2,0
