'',0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,2,1,0,0,0,0,0,0,0,2,0,0,0,1,3,2,0,4,0,0,1,1,0,0,2,1,0,0,0,1,4,0,3,0,2,0,0
-LRB-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,3,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0
``,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
adjective,5,3,3,0,4,2,1,1,1,7,4,0,1,3,3,3,2,3,0,4,5,2,3,0,2,0,3,4,2,5,6,0,6,1,0,0,0
adverb,4,1,1,2,2,2,2,1,1,2,2,0,0,1,1,2,4,3,0,0,0,1,3,2,1,1,0,1,2,2,3,0,2,2,1,1,0
article,2,5,4,0,3,9,2,3,1,7,2,1,1,1,8,1,3,4,4,4,4,4,7,0,3,3,3,4,3,4,4,1,5,2,3,2,0
conjunction,4,6,4,0,7,13,0,1,1,2,4,1,1,2,5,4,2,10,5,4,4,6,9,0,4,4,3,5,2,8,9,2,2,1,3,0,0
noun,12,10,8,1,10,18,1,6,0,8,2,2,2,6,9,1,4,15,11,4,5,9,10,1,11,5,4,6,6,10,10,2,7,2,7,2,0
numeral,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
other,2,1,2,0,1,3,0,0,0,3,1,0,2,1,1,0,2,2,1,0,1,1,2,0,3,1,0,2,2,2,2,1,1,0,0,1,0
particle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,4,0,1,0,0,0,0,0,2,3,2,0,0,1,2,2,1,0,2,1,2,2,1,2,2,0,0,1,1,1,0,0,1,0,2,0
verb,6,9,2,2,6,5,1,4,0,8,4,2,5,1,4,3,5,7,5,2,2,7,8,2,5,6,1,3,4,10,9,3,3,5,1,5,0
