'',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,0,3,3,1,5,4,5,6,0,6,2,5,0,3,8,0,2,2,0
-LRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0
PRP$,0,0,2,0,1,2,0,0,0,1,0,0,0,2,2,0,0,0,0
RBR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
adjective,1,6,4,2,4,2,5,1,0,8,1,3,0,2,7,0,4,2,0
adverb,1,4,3,0,1,6,6,3,2,7,5,4,1,1,3,2,1,4,0
article,1,2,2,2,8,3,4,4,1,2,3,1,0,1,5,1,4,2,0
conjunction,0,6,5,3,8,5,10,5,0,7,5,5,1,3,11,1,5,1,0
noun,1,9,7,6,14,10,21,13,0,12,2,2,0,5,16,2,6,2,0
numeral,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
other,0,2,3,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0
particle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,2,1,0,2,1,1,1,2,3,1,2,1,3,0,3,2,0
verb,2,4,9,2,3,7,10,5,2,9,3,2,2,3,9,1,5,4,0
