,,0,2,0,0,3,1,0,1,0,1,0,0,1,0,2,1,1,2,2,0,0,1,1,1,0,0,1,3,2,1,4,2,1,0,0,1,2,1,0,1,1,1,0
:,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
PRP$,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
adjective,0,2,1,3,5,0,0,2,3,0,0,2,1,1,4,1,0,3,2,0,2,1,1,1,0,1,2,4,4,3,8,5,2,3,1,2,0,2,2,1,0,1,0
adverb,0,3,0,0,0,2,1,1,2,1,1,3,1,0,2,2,0,2,3,0,1,0,1,2,0,0,1,1,1,0,3,0,2,0,3,0,2,4,0,2,2,0,0
article,1,0,2,2,4,0,0,0,1,0,0,1,2,1,2,0,1,2,0,1,0,0,2,1,0,0,3,4,2,1,2,5,2,1,0,0,1,1,1,1,0,3,0
conjunction,0,1,1,3,5,0,0,2,7,1,3,0,1,2,4,2,2,3,3,0,1,0,3,1,0,0,4,2,7,4,9,10,3,3,1,1,2,0,2,0,0,3,0
noun,1,4,2,4,6,0,1,7,3,2,1,1,6,2,5,4,3,5,4,3,2,2,4,1,1,1,6,7,7,5,8,16,3,3,0,4,7,0,2,2,1,4,0
numeral,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
other,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,4,1,0,0,0,0,2,0,0,0,0,1,0
particle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,2,0,2,1,1,1,0,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,0,2,0
verb,2,5,2,2,2,1,2,4,6,2,1,1,5,0,2,2,2,5,3,1,3,0,2,1,0,1,3,3,2,1,8,4,1,2,2,3,2,3,3,3,1,4,0
