,,0,0,2,3,1,3,0,0,0,2,0,0,0,0,1,3,0,4,0,1,0,2,0,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-RRB-,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0
:,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,2,2,0,3,1,3,3,4,1,1,0,0,0,2,0,2,0,5,2,4,1,1,0,3,0
adverb,2,0,1,7,3,0,2,0,1,3,0,0,0,1,1,1,0,2,3,3,2,1,3,1,0
article,2,7,1,7,2,5,1,3,4,6,1,0,1,4,2,7,0,7,3,1,2,4,2,3,0
conjunction,5,7,2,9,0,7,0,5,2,7,1,0,0,2,1,6,0,6,2,9,0,8,1,8,0
noun,6,10,5,11,4,16,1,7,3,14,4,2,2,6,3,11,2,14,6,10,2,8,0,17,0
numeral,1,1,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0
other,1,0,1,2,1,2,1,1,1,3,0,0,1,1,0,3,0,8,1,2,1,1,0,4,0
particle,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pronoun,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,3,0,2,0,0,1,1,0
verb,3,3,3,8,4,4,1,1,2,5,1,0,0,3,1,3,1,9,2,6,3,3,1,4,0
