'',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,1,3,0,1,0,0,0,3,2,0,1,0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,0,2,0
-LRB-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0
RBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,2,2,2,0,0,1,3,5,1,1,1,1,6,4,2,1,0,3,2,3,0,0,0,0,2,2,0,0
adverb,2,0,2,1,1,0,1,1,1,0,1,0,2,3,1,1,0,0,4,1,0,0,0,0,2,0,2,2,0
article,8,6,1,1,3,1,2,7,7,4,4,3,2,2,3,2,1,2,7,4,0,0,0,0,3,4,1,1,0
conjunction,8,6,3,0,1,1,0,6,10,3,2,3,1,6,5,4,0,3,10,5,1,0,0,1,6,3,0,1,0
noun,17,12,4,2,3,2,1,16,15,7,5,5,4,9,7,5,4,7,14,7,5,1,1,3,6,7,1,3,0
numeral,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
other,1,0,4,0,1,0,0,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
particle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
verb,8,5,7,1,2,1,2,7,4,4,2,2,2,4,5,5,2,1,5,5,1,0,0,1,8,2,2,2,0
