'',0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2,2,2,1,4,1,4,1,2,0,0,2,1,1,3,0,0,0,3,0,0,1,1,5,0,1,1,0,1,0,2,0,0,2,0,2,0,0,1,0,0,0,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
PRP$,0,1,0,1,2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
``,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,2,1,0,0
adjective,3,0,0,0,4,3,0,2,1,1,2,5,1,1,1,0,0,0,0,2,0,2,0,5,0,1,0,0,1,2,2,0,0,3,1,2,3,1,1,4,1,0,0
adverb,3,0,0,0,3,2,5,1,0,1,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,2,0,2,1,0,0,0,0,1,1
article,4,1,3,2,4,2,1,7,2,2,2,3,4,2,2,0,1,3,4,1,1,4,1,6,1,1,1,1,3,1,3,0,0,2,2,2,2,1,1,1,0,0,2
conjunction,7,2,2,3,8,2,3,5,1,1,1,6,5,2,2,1,1,4,3,4,0,3,2,7,1,1,0,0,6,2,3,0,0,4,1,0,4,1,2,1,0,1,1
noun,14,4,3,2,16,9,12,13,3,2,2,10,6,4,7,2,0,6,12,2,1,9,1,15,2,9,1,1,8,2,7,1,1,6,3,1,3,3,3,3,0,0,1
numeral,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
other,0,1,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
pronoun,1,1,1,0,5,1,3,1,2,0,1,3,2,1,1,1,2,0,0,0,1,1,1,3,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,1,0,0
verb,1,4,3,1,7,8,5,5,3,2,4,4,5,3,5,3,3,1,0,3,2,4,1,9,1,1,4,2,7,2,4,1,0,3,2,1,4,1,2,1,3,2,1
