'',0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,0,2,1,0,1,1,1,0,0,1,3,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,4,1,1,2,0,1,2,2,3,0,0,1,1,2,1,2,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adjective,1,3,1,0,2,5,2,4,3,2,3,2,1,4,2,1,2,0,2,0,1,2,3,4,3,1,4,1,2,2,2,0,3,1,5,4,1,5,2,3,0,1,0
adverb,0,0,0,0,1,6,1,3,0,3,3,1,4,3,2,2,1,2,2,1,3,1,2,2,1,3,3,1,1,1,0,1,1,3,3,2,0,1,0,2,0,5,0
article,1,4,3,2,1,4,5,3,3,3,4,3,2,6,4,6,1,4,5,2,1,3,1,7,2,0,5,4,3,5,3,8,3,4,0,2,3,4,2,1,3,1,0
conjunction,6,1,1,1,0,8,5,4,3,5,5,4,3,7,4,7,4,4,6,2,2,2,2,7,5,4,8,5,4,2,4,6,6,8,2,5,1,6,2,2,4,6,0
noun,11,6,4,5,4,9,6,6,5,7,10,8,3,13,10,15,13,7,13,1,4,7,6,8,8,3,15,6,8,10,8,12,9,8,6,9,5,8,2,8,11,4,0
numeral,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0
other,4,0,0,0,0,0,0,3,0,1,3,0,0,1,2,3,3,0,2,0,0,0,2,0,2,0,4,0,2,1,0,0,1,2,4,0,1,0,0,3,2,0,0
particle,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
pronoun,2,0,0,0,0,3,0,2,0,0,0,0,1,1,0,0,1,1,2,0,2,1,0,1,0,1,0,0,0,1,0,0,1,3,2,0,1,1,0,3,0,0,0
verb,7,3,2,1,2,9,2,6,1,6,3,3,2,9,3,7,5,8,11,1,6,8,3,5,2,3,7,2,3,4,3,3,5,9,7,6,3,3,1,8,6,2,0
