,,0,1,2,2,0,3,0,0,1,6,3,2,1,0,2,0,0,0,2,1,0,0,0,1,1,0,1,1,1,1,1,1,2,1,0,0,1,0,2,0,2,0,1,0
:,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
PRP$,1,0,2,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
RBR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,0,2,0,0,1,1,0,0,6,2,0,2,2,2,1,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,2,2,0,0,2,1,3,0,0,4,0,2,5
adverb,1,0,7,1,1,2,0,1,1,1,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,1,1,0,2,2,1,0,0,0,1,0,3,1,1,2,1,0,0
article,3,2,3,1,1,1,1,0,2,7,2,2,2,2,2,2,0,1,1,0,1,1,0,1,0,2,1,2,1,2,2,4,3,1,1,2,3,5,2,0,14,1,1,3
conjunction,5,1,11,1,1,2,2,1,3,8,4,2,1,2,1,2,2,2,2,0,1,0,1,0,1,2,1,3,1,2,3,6,5,4,1,1,0,9,1,0,12,0,3,3
noun,10,2,14,5,3,6,4,0,6,16,8,1,1,3,12,4,1,2,5,2,5,1,0,4,2,2,1,4,6,3,3,8,9,7,2,1,3,13,3,1,15,1,3,3
numeral,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,1,1,2,2,1,0,0,0,2,0,0,0,0,0,1
other,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
particle,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
pronoun,0,1,2,2,0,0,0,1,1,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,1,0,1,0,0,1,3,2,0,2,0,2,0,3,2,1,0,0,1,2
verb,6,4,10,8,2,1,0,0,4,1,4,1,0,2,0,4,4,1,1,3,1,2,1,0,1,0,3,3,1,3,3,3,3,7,1,1,1,5,4,0,9,1,4,6
