'',0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
,,0,1,0,1,1,1,0,3,2,1,0,5,0,1,3,0,0,2,1,2,0,0
-LRB-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0
PRP$,0,2,0,0,1,0,0,2,1,1,0,3,0,2,0,2,1,2,1,0,0,0
RBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,1,2,0,6,4,0,1,7,2,2,1,7,1,5,7,2,3,4,0,3,0,0
adverb,0,1,0,4,0,1,0,2,5,6,1,2,1,0,4,2,0,4,0,3,0,0
article,2,2,2,3,1,0,1,5,4,5,1,9,2,3,9,3,2,3,2,1,3,0
conjunction,2,5,2,6,3,1,0,5,7,5,2,14,4,8,10,6,1,10,0,2,2,0
noun,5,7,3,10,12,3,1,10,6,8,4,17,8,5,16,5,4,12,5,4,6,0
numeral,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0
other,0,1,0,0,2,0,0,2,2,2,1,4,1,0,0,0,1,2,1,0,1,0
pronoun,0,4,1,1,0,0,0,4,2,1,1,6,0,2,3,1,1,0,0,0,0,0
verb,2,8,3,3,2,2,1,5,7,8,3,14,3,5,15,2,1,5,1,0,3,0
